username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
traficogt,2023-10-11 03:56:33+00:00,"El muletas cree que no tiene que darle explicaciones a la sociedad civil, que está muy dignamente representada por los líderes de los pueblos originarios.  Mañana vas a ver el pushito de manifestantes que te vinieron a saludar.

Tené algo de dignidad y escuchá al pueblo.",1,14,30,,,4687.0
DrGiammattei,2023-10-11 03:50:58+00:00,Carta abierta dirigida a @BArevalodeLeon. ¡Que Dios bendiga a Guatemala! https://t.co/7DE6DRZshV,4881,410,1747,,BArevalodeLeon,1284005.0
mero_mero_jey,2023-10-11 03:48:56+00:00,"@traficogt Y vale la pena seguir repitiendo como loro un discurso político de algo inexistente como un ""golpe de estado""?",0,0,1,,traficogt,54.0
freddy_lucero,2023-10-11 03:45:57+00:00,"@PlazaPublicaGT @traficogt Por la pandemia me quedé sin trabajo, eso quiere que aguante?...jajaja",0,0,0,,"PlazaPublicaGT, traficogt",72.0
_guisii,2023-10-11 03:45:23+00:00,"@mmendoza_GT @traficogt A que Guatemala te referís? Porque en la que yo vivo está bloqueada y se violan mis derechos y los de muchos guatemaltecos. Encima precios MÁS altos, mercados y supermercados desabastecidos y habrá MÁS desempleo… Eso no da tranquilidad, DA MIEDO!",1,0,4,,"mmendoza_GT, traficogt",363.0
traficogt,2023-10-11 03:41:17+00:00,Este sería un vecino distinguido de Cayalá.   Pilas los de las inmobiliarias para ofrecerle al honirable alcalde propiedades!!,0,0,5,,,3088.0
_ojoconmipisto,2023-10-11 03:34:12+00:00,"#Hoy El alcalde reelecto de #PuebloNuevo, Diego Lux, se enfrentó a los manifestantes que bloquearon el paso en ese municipio de #Suchitepéquez.😐 Lee aquí los detalles de la discusión entre un ciudadano y el jefe edil conocido por sus cadenas de oro👇
https://t.co/QFThit2nrh",0,5,5,"Hoy, PuebloNuevo, Suchitepéquez",,4867.0
edsonarioni,2023-10-11 03:34:01+00:00,"@traficogt Lo mío ya es mente conspiratoria, pero haber sino se echan a la doña con tal de cubrir sus porquerías 😬",0,0,2,,traficogt,60.0
EdberB,2023-10-11 03:18:55+00:00,"@BArevalodeLeon @traficogt Pendejo, ya no siga incitando a la población a bloquear.  Y cuál es el miedo que los investiguen?  Creo que si no tiene ningún problema, usted mismo debería exigir que investiguen para dejar limpio su nombre.",0,0,0,,"BArevalodeLeon, traficogt",13.0
traficogt,2023-10-11 02:59:14+00:00,Son unos banda-los!!,0,0,2,,,2601.0
Factor4_GT,2023-10-11 02:57:27+00:00,"#ResistenciaPacífica en #DefensaDeLaDemocracia 

🔵Se está volviendo una constante que en muchos puntos de concentraciones pacíficas, la población se hace acompañar de expresiones artísticas: #Sanarate esta noche 👇🏽",2,35,117,"ResistenciaPacífica, DefensaDeLaDemocracia, Sanarate",,10225.0
de_don61347,2023-10-11 02:48:46+00:00,@IoVittor @MarielosMonzon @traficogt @48_CantonesToto @vocsindigenasgt @autoridadesgt @JLFont001 @JSandoval1982 @ThelmaAldana @cmendeza @festivalesgt @justiciayagt @AlianzaRgt El verdadero golpista,0,0,1,,"IoVittor, MarielosMonzon, traficogt, 48_CantonesToto, vocsindigenasgt, autoridadesgt, JLFont001, JSandoval1982, ThelmaAldana, cmendeza, festivalesgt, justiciayagt, AlianzaRgt",12.0
eyre_jeane,2023-10-11 02:44:57+00:00,@traficogt Jajaja donde saco boleto?,0,0,1,,traficogt,217.0
mynorarmando,2023-10-11 02:34:47+00:00,"@traficogt No dice que se habilite el carril permanente, podemos cerrar 2 horas y abrir media",0,0,1,,traficogt,23.0
traficogt,2023-10-11 02:28:51+00:00,"Magistrados de la cc, son una vergüenza.  La historia los recordará como escoria.  También es culpa suya que el país este detenido.  Complices del golpe.",2,9,29,,,4820.0
lahoragt,2023-10-11 02:20:00+00:00,"Bloqueos: CC permite que se habiliten carriles y actúe contra manifestaciones no pacíficas

Conoce los detalles 👉 https://t.co/6dPKlz9oLu

https://t.co/hOInd4p0b0",1,4,25,,,11095.0
juristagt502,2023-10-11 02:27:24+00:00,@Fenanu @traficogt Asi se demostro donde es la zona roja,0,0,0,,"Fenanu, traficogt",109.0
